data_execucao_script,data_cotacao_api,cotacao_dolar,maior_valor_dolar,menor_valor_dolar,variacao_dolar,nome_moeda_dolar
2026-04-26 17:13:38,2026-04-24 18:30:14,4.9756,5.063,4.9756,-1.095,Dólar Americano/Real Brasileiro
2026-04-26 17:14:20,2026-04-24 18:30:14,4.9756,5.063,4.9756,-1.095,Dólar Americano/Real Brasileiro
2026-04-26 17:24:07,2026-04-24 18:30:14,4.9756,5.063,4.9756,-1.095,Dólar Americano/Real Brasileiro
2026-04-26 17:32:37,2026-04-24 18:30:14,4.9756,5.063,4.9756,-1.095,Dólar Americano/Real Brasileiro
2026-04-26 17:46:40,2026-04-24 18:30:14,4.9756,5.063,4.9756,-1.095,Dólar Americano/Real Brasileiro
2026-04-26 21:27:00,2026-04-26 21:02:46,4.9812,4.9812,4.9751,0.113,Dólar Americano/Real Brasileiro
2026-04-26 21:35:36,2026-04-26 21:30:26,4.9801,4.9833,4.9751,0.09,Dólar Americano/Real Brasileiro
2026-04-29 22:03:35,2026-04-29 21:58:54,5.0175,5.0509,4.9676,0.463,Dólar Americano/Real Brasileiro
2026-04-29 22:43:35,2026-04-29 22:38:58,5.0177,5.0509,4.9676,0.467,Dólar Americano/Real Brasileiro
2026-05-02 16:35:53,2026-05-02 01:07:43,4.9489,4.9913,4.9489,-0.849,Dólar Americano/Real Brasileiro
